,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,
,,,,,,,,,,1,1,,1,1,,,,,,,,,,,,,,,
,,,,,,,,,,1,1,,1,1,1,1,,,,,,,,,,,,,
,,,,,,,,,,1,1,1,1,,1,1,,,,,,,,,,,,,
,,,,,,,,,1,1,,1,1,,1,1,1,1,,,,,,,,,,,
,,,,,,,,,1,1,,1,1,1,1,,1,1,,,,,,,,,,,
,,,,,,,,,1,1,1,1,,1,1,,1,1,1,1,,,,,,,,,
,,,,,,,,1,1,,1,1,,1,1,1,1,,1,1,,,,,,,,,
,,,,,,,,1,1,,1,1,1,1,,1,1,,1,1,1,1,,,,,,,
,,,,,,,,1,1,1,1,,1,1,,1,1,1,1,,1,1,,,,,,,
,,,,,,,1,1,,1,1,,1,1,1,1,,1,1,,1,1,1,1,,,,,
,,,,,,,1,1,,1,1,1,1,,1,1,,1,1,1,1,,1,1,,,,,
,,,,,1,1,1,1,1,1,,1,1,,1,1,1,1,,1,1,,1,1,1,1,,,
,,,,,1,1,,,1,1,,1,1,1,1,,1,1,,1,1,1,1,,1,1,,,
,,,,,1,1,1,1,1,1,1,1,,1,1,,1,1,1,1,,1,1,,1,1,1,1,
,,,,1,1,,1,1,,,1,1,,1,1,1,1,,1,1,,1,1,1,1,,1,1,
,,,,1,1,,1,1,1,1,1,1,1,1,,1,1,,1,1,1,1,,1,1,,1,1,Y
,,,,1,1,1,1,,1,1,,,1,1,,1,1,1,1,,1,1,,1,1,1,1,,Y
,,,1,1,,1,1,,1,1,1,1,1,1,1,1,,1,1,,1,1,1,1,,,,,Y
,,,1,1,,1,1,1,1,,1,1,,,1,1,,1,1,1,1,,,,,,,,
,,,1,1,1,1,,1,1,,1,1,1,1,1,1,1,1,,,,,,,,,,,
,,1,1,,1,1,,1,1,1,1,,,,,,,,,,,,,,,,,,
X,,1,1,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,
Y,Y,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
